WY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,SedDischarge,Normalized WavePower,Storm Direction(degN)
1980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.3,NaN,NaN
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5,NaN,NaN
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7,NaN,NaN
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.1,NaN,NaN
1984,-1.085883328,-12.88869405,-6.082757392,-3.071168304,-0.4364993913,-1.635871261,-5.291220508,5.720472984,-4.858026577,-6.608118485,-0.1958406058,1.071505992,-1.265382193,1.184146969,4.422985847,21.29691208,18.48761115,16.95640074,1.8,NaN,NaN
1985,2.194963174,0.3559486683,-3.082317863,0.7234506342,5.371304535,5.035077439,5.126648092,11.31733878,11.29329977,5.277948915,17.68761624,21.37330834,20.44272396,28.45408107,12.3794183,15.19914588,10.2885098,5.800633135,0.7,0.9224477616,306.5034663
1986,8.237563964,6.724370964,5.46170177,3.429529126,5.14357929,4.06692931,0.1251752915,5.785943234,-4.135291577,-2.269422535,1.556083644,2.153427692,-1.705908543,-6.887701681,-0.9128902533,8.961346285,-0.01061775347,-2.525792215,14.6,1.016587115,277.8673498
1987,-2.061170983,-4.066478234,-2.751956685,-1.794813072,-3.935980466,-3.04305738,-6.374191358,1.568281234,-7.111729727,-10.11779013,-3.251280856,0.7093779917,-1.024349443,2.704157069,-2.798288253,4.094470285,15.9382981,11.26297939,1.4,1.020475653,300.4754476
1988,-5.799314326,-6.197907384,-2.465549606,-2.899967583,-6.579093755,-3.336827277,1.754352042,5.338444084,-7.717106927,-4.679759235,0.3823068942,5.954388342,8.225232907,15.19558882,3.915464697,9.016439035,7.173245647,6.162470135,0.7,0.9899039628,292.8725029
1989,-7.279031764,-10.48947855,-4.23009279,-0.2538757518,-7.946682992,-6.049760694,-6.250823058,3.255101184,3.567322023,-2.791900035,11.53559609,21.00916844,26.17324906,25.85736562,4.936224147,8.150355685,4.220844647,-0.4692219648,0.7,0.6930115915,294.4844951
1990,-3.272433307,-5.157527402,-1.743372038,-1.818405946,-7.490222551,-8.811876703,-2.335738158,-3.432393666,4.983671973,-7.351356935,11.13837914,23.07957759,23.26223526,19.97485047,6.368245347,7.845906985,4.958720197,4.582740585,0.3,0.7903515242,306.5930131
1991,0.3161232078,-2.017381142,-3.070244,-2.54606215,-6.253303944,-0.7740877307,-4.081887058,1.240084034,-6.444080327,-7.675363635,-1.099019056,5.381273392,2.329156857,1.271979469,-0.4570724533,1.742327985,5.010303997,-0.2661578148,1.8,0.7930829481,291.384927
1992,-5.289173695,-6.96687153,-7.437259145,-3.680422171,-6.588303967,-3.099803288,-4.718129758,-1.332095566,-7.010026127,-6.934644335,3.098927944,5.082874192,8.496073357,11.82949477,-5.422326053,-0.2738273153,-6.038238703,-5.687038715,2.1,1.055745639,287.8436383
1993,-5.33752132,-1.566442308,-8.237723819,-4.542622274,-5.21275924,-9.260990505,-5.219652558,-8.699031016,-13.81925663,-16.17339343,-9.197315956,-6.001029658,1.015918557,0.7943478691,-12.31281985,-3.074690515,-1.918037103,-6.751223965,43.0,0.9494601791,280.614294
1994,-1.766705379,-5.849973883,-2.108598476,-3.657004469,-9.290812385,-11.99898946,-7.663641658,-3.784329666,-7.962034427,-11.98279543,-3.264364356,10.23301324,5.858652607,4.856301919,-6.620622653,3.336124885,2.892627447,-0.4966542148,0.8,0.8477020908,291.7442375
